IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
123761260,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,01/01/2003,02:00,UNKNOWN,NONE,UNKNOWN,-122.50408177861914,37.75194547234078,"(-122.50408177861914, 37.75194547234078)",123761260355219
115029683,INDECENT EXPOSURE,SEE CATEGORY,Thursday,01/02/2003,07:00,UNKNOWN,NONE,UNKNOWN,-122.43012127017852,37.663913837538416,"(-122.43012127017852, 37.663913837538416)",115029683355219
181526348,INDECENT EXPOSURE,SEE CATEGORY,Friday,01/03/2003,13:00,UNKNOWN,NONE,UNKNOWN,-122.22883533763274,37.80195433442403,"(-122.22883533763274, 37.80195433442403)",181526348355219
175360940,INDECENT EXPOSURE,SEE CATEGORY,Friday,01/03/2003,23:00,UNKNOWN,NONE,UNKNOWN,-122.27654953887084,37.811555018959375,"(-122.27654953887084, 37.811555018959375)",175360940355219
130484301,INDECENT EXPOSURE,SEE CATEGORY,Saturday,01/04/2003,10:00,UNKNOWN,NONE,UNKNOWN,-122.18693348218756,37.77649239306188,"(-122.18693348218756, 37.77649239306188)",130484301355219
165475161,INDECENT EXPOSURE,SEE CATEGORY,Saturday,01/04/2003,14:00,UNKNOWN,NONE,UNKNOWN,-122.12297294967085,37.66529669095957,"(-122.12297294967085, 37.66529669095957)",165475161355219
120023139,INDECENT EXPOSURE,SEE CATEGORY,Saturday,01/04/2003,14:00,UNKNOWN,NONE,UNKNOWN,-122.47127754586671,37.600309500799305,"(-122.47127754586671, 37.600309500799305)",120023139355219
132591003,INDECENT EXPOSURE,SEE CATEGORY,Monday,01/06/2003,20:00,UNKNOWN,NONE,UNKNOWN,-122.10666357511147,37.67068907711924,"(-122.10666357511147, 37.67068907711924)",132591003355219
195386034,INDECENT EXPOSURE,SEE CATEGORY,Thursday,01/09/2003,20:00,UNKNOWN,NONE,UNKNOWN,-122.07702764948866,37.67783694734934,"(-122.07702764948866, 37.67783694734934)",195386034355219
184767808,INDECENT EXPOSURE,SEE CATEGORY,Friday,01/10/2003,02:00,UNKNOWN,NONE,UNKNOWN,-122.37619248139264,37.758943092614,"(-122.37619248139264, 37.758943092614)",184767808355219
131618028,INDECENT EXPOSURE,SEE CATEGORY,Friday,01/10/2003,09:00,UNKNOWN,NONE,UNKNOWN,-122.24168151879961,37.7653577837946,"(-122.24168151879961, 37.7653577837946)",131618028355219
140568063,INDECENT EXPOSURE,SEE CATEGORY,Sunday,01/12/2003,06:00,UNKNOWN,NONE,UNKNOWN,-122.47794888383999,37.752996830422475,"(-122.47794888383999, 37.752996830422475)",140568063355219
133021708,INDECENT EXPOSURE,SEE CATEGORY,Monday,01/13/2003,12:00,UNKNOWN,NONE,UNKNOWN,-122.41541393700294,37.763758706275006,"(-122.41541393700294, 37.763758706275006)",133021708355219
118241057,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,01/14/2003,12:00,UNKNOWN,NONE,UNKNOWN,-122.13993350424533,37.80070755923372,"(-122.13993350424533, 37.80070755923372)",118241057355219
141083013,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,01/15/2003,12:00,UNKNOWN,NONE,UNKNOWN,-122.14845738862923,37.70371666663627,"(-122.14845738862923, 37.70371666663627)",141083013355219
186583571,INDECENT EXPOSURE,SEE CATEGORY,Saturday,01/18/2003,07:00,UNKNOWN,NONE,UNKNOWN,-122.26877012907886,37.80222049687876,"(-122.26877012907886, 37.80222049687876)",186583571355219
116616035,INDECENT EXPOSURE,SEE CATEGORY,Monday,01/20/2003,16:00,UNKNOWN,NONE,UNKNOWN,-122.44656356205248,37.60809465456228,"(-122.44656356205248, 37.60809465456228)",116616035355219
150234154,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,01/21/2003,09:00,UNKNOWN,NONE,UNKNOWN,-122.45127520180179,37.64172796322303,"(-122.45127520180179, 37.64172796322303)",150234154355219
130027219,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,01/21/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.24206778318202,37.77845925726533,"(-122.24206778318202, 37.77845925726533)",130027219355219
140381275,INDECENT EXPOSURE,SEE CATEGORY,Friday,01/24/2003,18:00,UNKNOWN,NONE,UNKNOWN,-122.16655312087802,37.81719791772412,"(-122.16655312087802, 37.81719791772412)",140381275355219
170506151,INDECENT EXPOSURE,SEE CATEGORY,Friday,01/24/2003,19:00,UNKNOWN,NONE,UNKNOWN,-122.48967596831551,37.674051464526265,"(-122.48967596831551, 37.674051464526265)",170506151355219
107976000,INDECENT EXPOSURE,SEE CATEGORY,Friday,01/24/2003,21:00,UNKNOWN,NONE,UNKNOWN,-122.15007538969198,37.81173830690823,"(-122.15007538969198, 37.81173830690823)",107976000355219
180023490,INDECENT EXPOSURE,SEE CATEGORY,Sunday,01/26/2003,05:00,UNKNOWN,NONE,UNKNOWN,-122.33318326532535,37.79388037257938,"(-122.33318326532535, 37.79388037257938)",180023490355219
156216410,INDECENT EXPOSURE,SEE CATEGORY,Monday,01/27/2003,00:00,UNKNOWN,NONE,UNKNOWN,-122.39482224942732,37.71286766794134,"(-122.39482224942732, 37.71286766794134)",156216410355219
148318929,INDECENT EXPOSURE,SEE CATEGORY,Monday,01/27/2003,13:00,UNKNOWN,NONE,UNKNOWN,-122.0299874572971,37.750684312564935,"(-122.0299874572971, 37.750684312564935)",148318929355219
121923690,INDECENT EXPOSURE,SEE CATEGORY,Monday,01/27/2003,22:00,UNKNOWN,NONE,UNKNOWN,-122.50494838684688,37.778713216278305,"(-122.50494838684688, 37.778713216278305)",121923690355219
116564173,INDECENT EXPOSURE,SEE CATEGORY,Monday,01/27/2003,23:00,UNKNOWN,NONE,UNKNOWN,-122.11551877624754,37.75882904531762,"(-122.11551877624754, 37.75882904531762)",116564173355219
121542086,INDECENT EXPOSURE,SEE CATEGORY,Saturday,02/01/2003,03:00,UNKNOWN,NONE,UNKNOWN,-122.38057661884223,37.805824391635724,"(-122.38057661884223, 37.805824391635724)",121542086355219
185994675,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,02/04/2003,00:00,UNKNOWN,NONE,UNKNOWN,-122.17576424044225,37.801959897150404,"(-122.17576424044225, 37.801959897150404)",185994675355219
134268021,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,02/05/2003,00:00,UNKNOWN,NONE,UNKNOWN,-122.24435341232795,37.72749917727883,"(-122.24435341232795, 37.72749917727883)",134268021355219
130845119,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,02/05/2003,05:00,UNKNOWN,NONE,UNKNOWN,-122.20945098031486,37.63867049915584,"(-122.20945098031486, 37.63867049915584)",130845119355219
